listing_id,weekly_rent,bond,bedrooms,bathrooms,car_spaces,property_type_primary,property_type_secondary,address,suburb,state,postcode,lat,lon,orientation_degrees,orientation_cardinal
11992368,550.0,2390.0,3.0,2.0,2.0,House,House,8 Vasey Avenue,Lalor,VIC,3075.0,-37.6710095,145.0231443,230.62926164424107,SW
11997408,500.0,2172.0,1.0,1.0,1.0,Apartment,Apartment / Unit / Flat,105/436 Burke Rd,Camberwell,VIC,3124.0,-37.8440819,145.0544916,229.2430588959608,SW
12004354,740.0,3215.0,3.0,2.0,2.0,Townhouse/Villa,Townhouse,2/39 Marie Avenue,Heidelberg Heights,VIC,3081.0,-37.7359137,145.0494593,230.0435940947076,SW
12031427,600.0,2607.0,3.0,2.0,1.0,Apartment,Apartment / Unit / Flat,3/315 Camp Road,Broadmeadows,VIC,3047.0,-37.687013,144.9305786,230.89632056460712,SW
12040015,,2933.0,3.0,1.0,1.0,House,House,8 Union Street,Windsor,VIC,3181.0,-37.8538277,144.9843538,229.47085850204604,SW
12054311,910.0,3944.0,4.0,2.0,2.0,House,House,5/14 Florence Street,Coburg,VIC,3058.0,-37.7516455,144.9597872,230.30578522073947,SW
12113459,800.0,3476.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,4004/639 Lonsdale St,Melbourne,VIC,3000.0,-37.8150105,144.9534188,229.87691820560553,SW
12144253,525.0,2282.0,3.0,2.0,2.0,Apartment,Apartment / Unit / Flat,5/1-3 Bellin Street,Laverton,VIC,3028.0,-37.8521839,144.7769095,230.33654648562288,SW
12149218,425.0,1847.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,310/5 Dudley Street,Caulfield East,VIC,3145.0,-37.8803787,145.0479807,229.01291639415587,SW
12152765,380.0,1651.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,8/18 Westbury Grove,St Kilda East,VIC,3183.0,-37.8639928,144.9982805,229.34003317757922,SW
12154090,,2760.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,519/152 Sturt Street,Southbank,VIC,3006.0,-37.82543940000001,144.9659161,229.75026667627256,SW
12175831,600.0,2607.0,3.0,2.0,1.0,Apartment,Apartment / Unit / Flat,4A Grovedale Close,Thomastown,VIC,3074.0,-37.6734432,144.993139,230.73675340377602,SW
12194990,580.0,2520.0,2.0,1.0,1.0,Apartment,Apartment / Unit / Flat,201/201 Albert Street,Brunswick,VIC,3056.0,-37.768755,144.9648836,230.1610604753871,SW
12198660,945.0,4106.0,5.0,3.0,2.0,House,House,19 Sylvia Street,Blackburn South,VIC,3130.0,-37.84417,145.1449557,228.85276406909003,SW
12237133,750.0,3259.0,2.0,1.0,0.0,House,House,11 Batman Street,Fitzroy North,VIC,3068.0,-37.784357,144.9788995,229.9901999852133,SW
12237410,400.0,1738.0,1.0,1.0,1.0,Apartment,Apartment / Unit / Flat,13/5 Fulton Street,St Kilda East,VIC,3183.0,-37.8611778,144.9980494,229.36097583042044,SW
12254975,500.0,2173.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,1114/3 Yarra Street,South Yarra,VIC,3141.0,-37.8381602,144.9928339,229.54660517028063,SW
12255302,370.0,1603.0,1.0,1.0,1.0,Apartment,Apartment / Unit / Flat,6/175 Power Street,Hawthorn,VIC,3122.0,-37.8263188,145.0257479,229.49208882160133,SW
12324179,590.0,2564.0,2.0,1.0,1.0,Apartment,Apartment / Unit / Flat,203/211 Dorcas Street,South Melbourne,VIC,3205.0,-37.8327914,144.9620468,229.71404202629006,SW
12336794,400.0,1738.0,2.0,1.0,1.0,Apartment,Apartment / Unit / Flat,10/24 Leonard Avenue,Noble Park,VIC,3174.0,-37.9702468,145.1753738,227.8283787453837,SW
12341956,450.0,1955.0,2.0,1.0,0.0,Apartment,Apartment / Unit / Flat,4/46 Bayswater Road,Kensington,VIC,3031.0,-37.7933277,144.9236251,230.15581245442291,SW
12373425,625.0,2716.0,3.0,1.0,2.0,House,House,66 Bunney Road,Clarinda,VIC,3169.0,-37.9343919,145.1042434,228.39009723727193,SW
12415151,520.0,2260.0,1.0,1.0,1.0,Apartment,Apartment / Unit / Flat,1913/8 Marmion Place,Docklands,VIC,3008.0,-37.8135127,144.9424577,229.93327068773277,SW
12418080,680.0,2947.0,2.0,1.0,0.0,House,House,2 Newman Street,Brunswick,VIC,3056.0,-37.7614741,144.9545507,230.2565729421595,SW
12487177,330.0,1434.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,3 Holmes Street,Brunswick East,VIC,3057.0,-37.7614297,144.9736177,230.177480748455,SW
12515701,850.0,3693.0,5.0,3.0,2.0,House,House,13 Dahmen Street,Carrum,VIC,3197.0,-38.0710364,145.1329347,227.31773804129978,SW
12544827,400.0,1738.0,3.0,2.0,1.0,House,House,39 Bethany road,Hoppers Crossing,VIC,3029.0,-37.857627,144.678496,230.69078095534036,SW
12573380,660.0,2868.0,2.0,1.0,1.0,Apartment,Apartment / Unit / Flat,807/55 Queens Road,Melbourne,VIC,3004.0,-37.847853,144.9776096,229.54165229159116,SW
12575382,440.0,1912.0,2.0,1.0,1.0,Apartment,Apartment / Unit / Flat,6/14 Fordholm Road,Hawthorn,VIC,3122.0,-37.8307071,145.0305291,229.44046282464666,SW
12591363,680.0,2954.0,1.0,1.0,0.0,Apartment,Apartment / Unit / Flat,2003/160 Victoria St,Carlton,VIC,3053.0,-37.8061605,144.9619011,229.9048140144067,SW
12609424,645.0,2803.0,2.0,1.0,1.0,Apartment,Apartment / Unit / Flat,2/5 Barkly Street,Brunswick East,VIC,3057.0,-37.777708,144.977363,230.04446979380452,SW
12609661,1200.0,5214.0,4.0,2.0,1.0,House,House,6 Kay Street,Carlton,VIC,3053.0,-37.7951663,144.9750867,229.92850212069604,SW
12643533,890.0,3867.0,4.0,2.0,2.0,Townhouse/Villa,Townhouse,12 Marylebone Drive,Mulgrave,VIC,3170.0,-37.926561,145.188008,228.07931710255747,SW
12646931,1000.0,4345.0,3.0,1.0,2.0,House,House,26 Clarence Street,Elsternwick,VIC,3185.0,-37.8919072,145.0104456,229.09109460790077,SW
12672613,510.0,2217.0,4.0,2.0,2.0,House,House,17 Major Way,Tarneit,VIC,3029.0,-37.8388857,144.6518474,230.92728526118827,SW
12672935,530.0,2300.0,3.0,1.0,1.0,House,House,2 Amarina Close,Meadow Heights,VIC,3048.0,-37.6483397,144.9265671,231.19629521992624,SW
12691898,850.0,3693.0,2.0,1.0,2.0,Apartment,Apartment / Unit / Flat,Balwyn VIC 3103,Balwyn,VIC,3103.0,-37.8128937,145.0813238,229.35151296086423,SW
12742740,,1387.0,2.0,1.0,1.0,Apartment,Apartment / Unit / Flat,3/1359 Nepean Highway,Cheltenham,VIC,3192.0,-37.9713481,145.0629045,228.31011254886772,SW
12752808,550.0,2390.0,4.0,2.0,2.0,House,House,103 Haze Drive,Point Cook,VIC,3030.0,-37.9089918,144.7726612,229.9552303616262,SW
