listing_id,weekly_rent,bond,bedrooms,bathrooms,car_spaces,lat,lon,property_type_primary,property_type_secondary,address,suburb,state,postcode,source_file
17742456,620.0,2694.0,3.0,2.0,1.0,-37.8444138,145.1671539,House,House,31 Mock Street,Forest Hill,VIC,3131,17742456.html
17742457,500.0,2173.0,1.0,1.0,0.0,-37.8186391,144.9604853,Apartment,Apartment / Unit / Flat,807/29 Market Street,Melbourne,VIC,3000,17742457.html
17742463,585.0,2542.0,2.0,2.0,1.0,-37.8586969,144.9845668,Apartment,Apartment / Unit / Flat,7/3 Charnwood Road,St Kilda,VIC,3182,17742463.html
17742465,700.0,3041.0,2.0,2.0,1.0,-37.8919795,145.0895198,Apartment,Apartment / Unit / Flat,406/6 Dalgety Street,Oakleigh,VIC,3166,17742465.html
17742466,500.0,2173.0,2.0,1.0,2.0,-37.8005176,144.8810124,Apartment,Apartment / Unit / Flat,1/72 Cross Street,Footscray,VIC,3011,17742466.html
17742469,520.0,2260.0,3.0,2.0,2.0,-37.6056321,145.0634176,Townhouse/Villa,Townhouse,6 Cavender Street,Mernda,VIC,3754,17742469.html
17742470,515.0,2238.0,3.0,1.0,4.0,-37.6412158,145.0367623,House,House,52 Northumberland Drive,Epping,VIC,3076,17742470.html
17742473,500.0,2173.0,1.0,1.0,1.0,-37.947279,145.0399767,Apartment,Apartment / Unit / Flat,103/10 Major St,Highett,VIC,3190,17742473.html
17742476,530.0,2303.0,1.0,1.0,1.0,-37.8511907,144.9789082,Apartment,Apartment / Unit / Flat,812/70 Queens Road,Melbourne,VIC,3004,17742476.html
17742477,450.0,1955.0,2.0,1.0,1.0,-38.1387189,144.3484796,Apartment,Apartment / Unit / Flat,4/115 Pakington St,Geelong West,VIC,3218,17742477.html
17742481,280.0,1210.0,1.0,1.0,0.0,-34.1961576,142.1542438,Apartment,Apartment / Unit / Flat,4/240 Wade Avenue,Mildura,VIC,3500,17742481.html
17742486,550.0,2390.0,4.0,2.0,2.0,-37.8824048,144.7112679,House,House,121 Bensonhurst Parade,Point Cook,VIC,3030,17742486.html
17742487,640.0,2781.0,2.0,1.0,1.0,-37.8180374,144.9959863,Apartment,Apartment / Unit / Flat,505/183 Bridge Road,Richmond,VIC,3121,17742487.html
17742490,580.0,2520.0,3.0,1.0,1.0,-37.7136932,145.011324,Townhouse/Villa,Townhouse,1/32 Orrong Avenue,Reservoir,VIC,3073,17742490.html
17742494,570.0,2477.0,4.0,2.0,2.0,-38.0839513,145.6287661,House,House,9 Howitt Street,Tynong,VIC,3813,17742494.html
